Timestamp,gender_,chip_spice,chip_brand,bags_week,bottle_water
4/5/2024 10:48:53,Male,Non-spicy,Takis,2,1
4/5/2024 10:48:56,Female,Non-spicy,Hot-Cheetos,1,1
4/5/2024 10:50:13,Male,Non-spicy,Lays,1,1
4/5/2024 10:52:32,Female,Non-spicy,Lays,1,2
4/5/2024 11:03:36,Female,Non-spicy,Doritos,2,1
4/5/2024 11:14:28,Other,Non-spicy,Lays,1,1
4/5/2024 11:16:38,Female,Non-spicy,Takis,1,2
4/5/2024 11:41:54,Female,Non-spicy,Doritos,5,1
4/5/2024 11:42:17,Female,Non-spicy,Takis,1,1
4/5/2024 11:59:38,Female,Non-spicy,Doritos,1,0
4/5/2024 12:02:40,Female,Non-spicy,Doritos,1,0
4/5/2024 12:25:24,Female,Non-spicy,Doritos,1,2
4/5/2024 13:21:55,Female,Non-spicy,Lays,2,3
4/5/2024 14:09:02,Female,Non-spicy,Lays,1,2
4/5/2024 22:36:24,Female,Non-spicy,Doritos,3,0
4/5/2024 23:12:55,Female,Non-spicy,Doritos,1,1
4/5/2024 10:42:29,Male,Spicy,Doritos,3,5
4/5/2024 10:42:37,Female,Spicy,Hot-Cheetos,1,1
4/5/2024 10:42:54,Female,Spicy,Hot-Cheetos,5,2
4/5/2024 10:44:46,Female,Spicy,Hot-Cheetos,4,2
4/5/2024 10:45:11,Female,Spicy,Takis,1,1
4/5/2024 10:45:27,Female,Spicy,Takis,1,2
4/5/2024 10:47:00,Female,Spicy,Takis,1,3
4/5/2024 10:47:46,Female,Spicy,Hot-Cheetos,0,1
4/5/2024 10:48:21,Female,Spicy,Takis,3,2
4/5/2024 10:48:42,Female,Spicy,Hot-Cheetos,2,2
4/5/2024 10:51:55,Female,Spicy,Hot-Cheetos,2,1
4/5/2024 10:53:03,Male,Spicy,Hot-Cheetos,2,3
4/5/2024 10:53:30,Female,Spicy,Hot-Cheetos,0,1
4/5/2024 10:56:59,Female,Spicy,Lays,2,1
4/5/2024 10:59:36,Female,Spicy,Doritos,1,1
4/5/2024 11:05:52,Female,Spicy,Hot-Cheetos,2,3
4/5/2024 11:06:12,Female,Spicy,Doritos,1,2
4/5/2024 11:07:44,Female,Spicy,Takis,5,3
4/5/2024 11:08:24,Female,Spicy,Takis,1,1
4/5/2024 11:14:36,Female,Spicy,Takis,1,1
4/5/2024 11:17:40,Female,Spicy,Hot-Cheetos,2,0
4/5/2024 11:18:45,Female,Spicy,Hot-Cheetos,2,0
4/5/2024 11:21:42,Female,Spicy,Takis,1,0
4/5/2024 11:22:46,Female,Spicy,Lays,2,2
4/5/2024 11:23:06,Female,Spicy,Hot-Cheetos,0.5,0
4/5/2024 11:23:47,Female,Spicy,Hot-Cheetos,2,0
4/5/2024 11:26:32,Female,Spicy,Hot-Cheetos,2,1
4/5/2024 11:27:59,Female,Spicy,Hot-Cheetos,1,3
4/5/2024 11:30:16,Female,Spicy,Takis,1,1
4/5/2024 11:35:13,Female,Spicy,Hot-Cheetos,1,1
4/5/2024 11:35:53,Female,Spicy,Takis,2,1
4/5/2024 11:44:00,Male,Spicy,Hot-Cheetos,2,1
4/5/2024 11:48:55,Female,Spicy,Takis,4,2
4/5/2024 11:50:18,Female,Spicy,Takis,1,1
4/5/2024 11:50:48,Female,Spicy,Hot-Cheetos,3,2
4/5/2024 11:51:51,Female,Spicy,Hot-Cheetos,2,1
4/5/2024 11:52:31,Female,Spicy,Hot-Cheetos,2,2
4/5/2024 11:53:15,Female,Spicy,Hot-Cheetos,1,1
4/5/2024 11:54:28,Female,Spicy,Hot-Cheetos,2,3
4/5/2024 11:57:13,Female,Spicy,Doritos,1,0
4/5/2024 12:08:06,Female,Spicy,Doritos,1,2
4/5/2024 12:12:05,Female,Spicy,Hot-Cheetos,3,0
4/5/2024 12:20:13,Female,Spicy,Takis,1,2
4/5/2024 12:23:46,Female,Spicy,Hot-Cheetos,1,1
4/5/2024 12:30:14,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 12:35:30,Female,Spicy,Takis,3,1
4/5/2024 12:45:39,Female,Spicy,Takis,4,1
4/5/2024 13:24:18,Female,Spicy,Hot-Cheetos,2,1
4/5/2024 13:27:19,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 13:38:36,Female,Spicy,Hot-Cheetos,1,3
4/5/2024 13:56:00,Female,Spicy,Takis,2,3
4/5/2024 13:56:42,Female,Spicy,Takis,3,3
4/5/2024 14:26:31,Female,Spicy,Takis,1,2
4/5/2024 14:28:00,Female,Spicy,Takis,2,1
4/5/2024 14:57:38,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 15:48:04,Female,Spicy,Takis,4,3
4/5/2024 16:04:34,Female,Spicy,Hot-Cheetos,1,0
4/5/2024 16:20:21,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 16:26:54,Female,Spicy,Takis,1,1
4/5/2024 16:50:14,Female,Spicy,Takis,1,2
4/5/2024 16:55:00,Female,Spicy,Lays,1,1
4/5/2024 16:57:03,Female,Spicy,Hot-Cheetos,1,1
4/5/2024 17:02:29,Female,Spicy,Takis,2,1
4/5/2024 17:03:51,Female,Spicy,Hot-Cheetos,2,0
4/5/2024 17:24:50,Female,Spicy,Takis,1,2
4/5/2024 17:38:03,Female,Spicy,Doritos,1,1
4/5/2024 17:55:33,Female,Spicy,Lays,3,0
4/5/2024 17:57:57,Male,Spicy,Hot-Cheetos,1,5
4/5/2024 17:59:43,Female,Spicy,Hot-Cheetos,1,2
4/5/2024 18:16:09,Female,Spicy,Takis,1,1
4/5/2024 18:17:29,Female,Spicy,Lays,1,1
4/5/2024 18:46:12,Female,Spicy,Takis,4,2
4/5/2024 19:14:32,Female,Spicy,Takis,1,1
4/5/2024 19:40:09,Female,Spicy,Lays,2,3
4/5/2024 19:42:23,Female,Spicy,Doritos,1,0
4/5/2024 19:52:12,Female,Spicy,Takis,3,5
4/5/2024 20:38:34,Female,Spicy,Doritos,5,5
4/5/2024 21:22:40,Female,Spicy,Hot-Cheetos,2,2
4/6/2024 0:30:27,Female,Spicy,Takis,2,2
4/6/2024 3:09:09,Female,Spicy,Hot-Cheetos,2,3
4/6/2024 7:52:40,Female,Spicy,Hot-Cheetos,0,0
4/6/2024 10:22:47,Female,Spicy,Hot-Cheetos,2,1
4/7/2024 11:22:48,Male,Spicy,Doritos,1,0
4/6/2024 10:33:32,Female,Spicy,Hot-Cheetos,1,1