Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/22/24,Monday,12,Uber,Travel,Debit,Need
01/22/24,Monday,16.47,Amazon,Entertainment and Recreation,Debit,Want
01/23/24,Tuesday,10,lunch,Food,Debit,Need
01/23/24,Tuesday,12,uber,Travel,Debit,Need
01/24/24,Wednesday,12,uber,Travel,Debit,Need
01/25/24,Thursday,11,uber,Travel,Debit,Need
01/25/24,Thursday,10,lunch,Food,Debit,Need
01/26/24,Friday,11,uber,Travel,Debit,Need
01/26/24,Friday,12,uber,Travel,Debit,Need
01/27/24,Saturday,21.12,wingstop,Food,Debit,Want
01/27,Saturday,10,snacks,Food,Debit,Want
01/27/24,Saturday,5,activities,Entertainment and Recreation,Debit,Want
01/28/24,Sunday,225,vanity,Housing,Debit,Want
01/28/24,Sunday,100,savings,Bills,Debit,Savings
01/29/24,Monday,31,gift,Entertainment and Recreation,Debit,Need
01/30/24,Tuesday,5.75,starbucks,Food,Debit,Want
01/30/24,Tuesday,16.72,uber,Travel,Debit,Need
01/31/24,Wednesday,2.25,cookies,Food,Debit,Want
01/31/24,Wednesday,12.75,panda express,Food,Cash,Want
01/31/24,Wednesday,33.72,target,Housing,Debit,Need
01/31/24,Wednesday,47.26,taqueria,Food,Debit,Want
02/01/24,Thursday,15.94,uber,Travel,Debit,Need
02/01/24,Thursday,13.48,safeway,Food,Debit,Want